Publisher,Count
Mattel Interactive,1
MeDungeon Ltd.,1
Mega Man Maker Team,1
Merit Studios,1
Merscom,1
Metanet Software,1
Metro3D,1
Mgame USA Inc.,1
MicroProse/Hasbro Interactive,1
Microapplication,1
Microids/Encore Games,1
Microsoft Corporation,1
Mid Carolina Media,1
Midas Interactive,1
Midas Interactive Entertainment,1
Mike Oldfield,1
Minori,1
Misfits Attic,1
Mnemosyne,1
Mobigame,1
Mode 7 Games,1
Mojang,1
Motion Twin,1
Mountain King Studios,1
Mousechief,1
Movie Battles Team,1
Mulawa Dreaming,1
Muzzy Lane,1
Myelin Media,1
NA: Crave EntertainmentEU: JoWooD Productions,1
NBC,1
NCS,1
ND Games,1
NDOORS Interactive,1
NEC,1
Namco Bandai,1
Namco Bandai Games America,1
NetDevil,1
NetDragon WebSoft Inc,1
Nitro+chiral,1
Nival Interactive,1
Nobilis,1
Nokia,1
Novitas Publishing,1
Number None,1
OOTP Developments,1
ORT Software,1
OSC,1
Oberon Media,1
Oddworld Inhabitants,1
Origin Systems,1
Otaku Publishing Ltd.,1
Ovine by Design,1
Oxeye Game Studio,1
PC Gamer,1
PLAY sp zoo,1
PQube,1
PUBG Corporation,1
Padworld Entertainment,1
Palladium Interactive,1
Pan Vision,1
Panasonic Interactive Media,1
Papyrus Design Group,1
Paramount Digital Entertainment,1
Parroty Interactive,1
Pentavision,1
Phantom EFX,1
Philips Media,1
Pieces Interactive,1
PillowPigGames,1
Pin-Ball Games Ltd.,1
Pinnacle Entertainment Group,1
Pixel Shop Inc.,1
Pixile Studios,1
PlayismCoconut Island Games,1
Playmates Interactive,1
PocketGearHandango,1
PolyKid,1
PopCap Game,1
Princess Soft,1
Priority Interrupt,1
Project Two Interactive BV,1
Psychic Software,1
Psyonix,1
Q Entertainment,1
QUByte Interactive,1
Quadro Delta,1
Quantic Dream,1
R&P Electronic Media,1
Radu Privantu,1
Rage Games Limited,1
Re-Logic,1
ReadySoft,1
Reality GapIT Territory,1
Rebellion Developments,1
Recoil Games,1
RedBedlam,1
RedLynx,1
Redshift,1
Reflexive Arcade,1
Remedy Entertainment,1
Respondesign,1
Retro Games,1
Reunion des Musees Nationaux,1
Riot Games,1
Ripcord Games,1
Ritual Entertainment,1
Rocketcat Games,1
Rockstar Studios,1
Ronny Wester,1
Runestone Game Development,1
Runic Games,1
Russobit-M,1
Rusty Lake,1
Ruud van Gaal,1
S2 Games,1
SCS Software,1
SCi Games,1
Sammy Studios,1
Sanctuary Woods,1
Scandere Software,1
SeithCG,1
Sekai Project,1
Self-published,1
Seven Lights,1
Shadow Tor Studios,1
Shiny Entertainment,1
Shoeisha,1
Sigma Team,1
Sillysoft Games,1
SilverLine Software,1
Simsquared Ltd.,1
Sirius Publishing,1
Ska Studios,1
Snood World,1
Snowcastle Games,1
Socialpoint,1
Socko! Entertainment,1
Soedesco,1
Softkey,1
Softstar Entertainment Inc.,1
Software 2000,1
Software Projects,1
Soldak Entertainment,1
Sorath,1
SourceForge.net,1
Spiral Game Studios,1
Square,1
Star Vault,1
Strategic Simulations Inc.,1
Studio Mebius,1
Studio Pixel,1
StudioMDHR,1
Subtle Style,1
Sugeno,1
SummitSoft Entertainment,1
Sumo Digital,1
Sunflowers Interactive Entertainment Software,1
Sunspire Studios,1
Sunstorm Interactive,1
Suomen Kotijaatelo Oy,1
SuperCrit,1
Surprise Attack,1
Synergy Interactive Crop.,1
System Erasure,1
THQ Inc.,1
THQ Valusoft,1
TRI SYNERGY,1
Taito Corporation,1
Take 2,1
Take 2 Interactive,1
Take 2 Interactive and God Games,1
Take-Two Interactive Software,1
TalonSoft and Global Star Software,1
Tantrum Entertainment,1
Team Cherry,1
Team FK,1
Team Meat,1
Team Xonotic,1
Telegames,1
Terraglyph Interactive,1
Terrible Posture Games,1
Texel Raptor,1
The Adventure Company Coladia Games,1
The Fighter Collection,1
The Freeciv project,1
The Game Factory,1
The NetHack DevTeam,1
The Pokémon Company,1
The Project Reality Team,1
The Voyager Co.,1
TheMeatly Games,1
Thinking Machine Associates,1
Third Wave Games,1
Third-I Productions,1
Thomas Happ Games,1
Thompsonsoft,1
Three Rings Design,1
TicToc Games,1
Time Warner Interactive,1
TinyBuild,1
Titus Software,1
Toby Fox,1
TopWare InteractiveInterplay Entertainment,1
Toshiba-EMI,1
Totem Games,1
Traffic Software,1
Trapdoor,1
Trendy Entertainment,1
Tri-Synergy,1
Triangle Studios,1
Tribute Games,1
Trilobyte,1
Trimark Interactive,1
Tripwire Interactive,1
Triumph Studios,1
Tru Blu Entertainment,1
True GamesGoa,1
Turbine Entertainment Software,1
Turner Broadcasting System,1
Turtle Cream,1
Twilight Frontier,1
Tycoon Sistemas Ltda,1
USC Interactive Media Division,1
UbisoftCyan WorldsGameTap,1
Unisonshift,1
Universal Interactive,1
Universal Studios,1
VR Sports,1
VU Games,1
Valve Corporation,1
Vatical Entertainment LLC,1
Vblank Entertainment,1
Veggie Games Inc,1
Vertigo Games,1
VestelMerscom,1
Viable Software Alternatives,1
Viacom New Media,1
Video System,1
Vision Software,1
Visual Arts,1
Vivendi Universal Interactive Publishing,1
Volatile Games,1
VoxelStorm,1
Walt Disney Internet Group,1
Warner Bros. Games,1
Watanabe Seisakujo,1
Webfoot Technologies,1
Westwood Studios,1
Whiptail Interactive,1
Widescreen Games,1
Wildlife,1
Winch Gate,1
Windmill Software,1
Wizards of the Coast,1
Wolfire Games,1
Worldwide Biggies,1
Wube Software,1
Wyrmkeep Entertainment,1
Wyrmkeep Entertainment Co.,1
XS Games,1
XXv Productions,1
Xicat Interactive,1
Xilam,1
Xplosiv,1
YNK Interactive,1
Yedang,1
ZUXXEZ Entertainment,1
Zachtronics Industries,1
Zed Two,1
Zoo Games,1
Zordix,1
Zuxxez/TopWare Interactive,1
crea-ture Studios,1
dtp entertainment,1
eGenesis,1
game & game,1
gamescampus.com,1
iGames Publishing,1
icehole,1
tAAt,1
tinyBuild,1
